title,url,discounted_price,original_price
Authentic Lost Vape Ursa Quest Multi Kit - Gunmetal Ebony Wood,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-gunmetal-ebony-wood-p-20473.html,,$50.74
Authentic Geekvape Wenax Stylus Pod Starter Kit - Space Gray,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-space-gray-p-19299.html,,$23.46
Authentic Vandyvape BERSERKER Mini V2 MTL RTA - SS,https://www.cigabuy.com/authentic-vandyvape-berserker-mini-v2-mtl-rta-ss-p-20622.html,,$39.29
Authentic Geekvape Wenax K1 Pod Kit - Sky Blue,https://www.cigabuy.com/authentic-geekvape-wenax-k1-pod-kit-sky-blue-p-20597.html,,$24.55
Authentic Uwell Whirl S Pen Kit - Coffee,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-coffee-p-20633.html,,$38.21
2 x Authentic Geekvape Aegis Boost Pro Empty Pod,https://www.cigabuy.com/2-x-authentic-geekvape-aegis-boost-pro-empty-pod-p-20330.html,,$8.00
Authentic Thunderhead Creations THC Tauren MTL RTA 2ml - Stainless Steel,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-mtl-rta-2ml-stainless-steel-p-20497.html,,$39.70
Authentic Wotofo Profile M RTA - Black,https://www.cigabuy.com/authentic-wotofo-profile-rta-black-p-20465.html,,$37.76
5 x Authentic Lost vape Ultra Boost M4 Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-lost-vape-ultra-boost-m4-coil-02ohm-p-20010.html,,$15.99
Authentic Geekvape Wenax K1 Pod Kit - Blue,https://www.cigabuy.com/authentic-geekvape-wenax-k1-pod-kit-blue-p-20595.html,,$24.55
Authentic Uwell Whirl S Pen Kit - Dark gray,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-dark-gray-p-20634.html,,$38.21
Authentic Uwell Tripod PCC Pod Kit 370mAh + 1000mAh - Black&Gold,https://www.cigabuy.com/authentic-uwell-tripod-pcc-pod-kit-370mah-1000mah-blackgold-p-20357.html,,$37.48
Authentic Geekvape TALO X 24mm BF RDA - Gunmetal,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-gunmetal-p-20206.html,,$25.48
Authentic Geekvape Zeus Nano Tank - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-gunmetal-p-20000.html,,$26.67
Authentic Uwell Aeglos Pod Kit - Red,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-red-p-20288.html,,$39.43
Authentic Uwell Whirl II 3.5ml Sub-Ohm Tank - Blue,https://www.cigabuy.com/authentic-uwell-whirl-ii-35ml-sub-ohm-tank-blue-p-20060.html,,$29.87
Authentic Vaporesso Luxe II 220W TC Mod - Iceberg,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-iceberg-p-19907.html,,$75.65
Authentic Uwell Tripod PCC Pod Kit 370mAh + 1000mAh - Metallic Green,https://www.cigabuy.com/authentic-uwell-tripod-pcc-pod-kit-370mah-1000mah-metallic-green-p-20358.html,,$37.48
Authentic Geekvape TALO X 24mm BF RDA - Black,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-black-p-20204.html,,$25.48
Authentic Geekvape Aegis Boost Pro Kit - Classic Silver,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-classic-silver-p-20326.html,,$48.06
Authentic Lost Vape Ursa Quest Multi Kit - Gunmetal Ukiran Leather,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-gunmetal-ukiran-leather-p-20479.html,,$50.74
Authentic Vaporesso FORZ TX80 VW 80W Mod - Gunmetal Grey,https://www.cigabuy.com/authentic-vaporesso-forz-tx80-vw-80w-mod-gunmetal-grey-p-20083.html,,$59.74
Authentic Thunderhead Creations THC Tauren MTL RTA 2ml - Gunmetal,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-mtl-rta-2ml-gunmetal-p-20498.html,,$41.18
Authentic GeekVape Zeus X RTA 4.5ml 25MM - Black,https://www.cigabuy.com/authentic-geekvape-zeus-x-rta-45ml-25mm-black-p-14054.html,,$36.15
Authentic Wotofo Profile M RTA - Gold,https://www.cigabuy.com/authentic-wotofo-profile-rta-gold-p-20468.html,,$37.76
Authentic Wotofo Profile M RTA - Blue,https://www.cigabuy.com/authentic-wotofo-profile-rta-blue-p-20469.html,,$37.76
Authentic Vandyvape Jackaroo Dual 188W Box Mod - Resin Red Agate,https://www.cigabuy.com/authentic-vandyvape-jackaroo-dual-188w-box-mod-resin-red-agate-p-20244.html,,$70.09
Authentic Geekvape Aegis Boost Pro Kit - Space Black,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-space-black-p-20324.html,,$48.06
AXGIO Super Mini Nano Wireless Stereo Earphone with Mic for Cellphone,https://www.cigabuy.com/axgio-super-mini-nano-wireless-stereo-earphone-with-mic-for-cellphone-p-20703.html,$4.12,$18.95 
Authentic VOOPOO V.SUIT Pod System Kit - White,https://www.cigabuy.com/authentic-voopoo-vsuit-pod-system-kit-white-p-19837.html,$16.35,$22.41 
Authentic Geekvape Mero AIO Kit - Silver,https://www.cigabuy.com/authentic-geekvape-mero-aio-kit-silver-p-20202.html,,$25.39
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Black,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-black-p-14040.html,,$92.97
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-gunmetal-p-19968.html,,$41.60
5 x Authentic Lost vape Ultra Boost M1 Coil 0.3ohm,https://www.cigabuy.com/5-x-authentic-lost-vape-ultra-boost-m1-coil-03ohm-p-20011.html,,$15.99
Authentic Geekvape Aegis Hero Pod Mod Kit - Red,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-red-p-19993.html,,$40.54
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml 25ml - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-25ml-black-p-19980.html,,$77.88
Authentic Vandyvape Jackaroo Pod Kit - Black Warrior,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-black-warrior-p-20639.html,,$35.36
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Red,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-red-p-16659.html,$11.56,$37.32 
Authentic Vandyvape Jackaroo Pod Kit - Carbon Fiber Silver,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-carbon-fiber-silver-p-20640.html,,$35.36
Authentic Wotofo Manik Mini Pod Kit - Black,https://www.cigabuy.com/authentic-wotofo-manik-mini-pod-kit-black-p-20625.html,,$34.33
Authentic Wotofo Manik Mini Pod Kit - Gray,https://www.cigabuy.com/authentic-wotofo-manik-mini-pod-kit-gray-p-20626.html,,$34.33
Authentic Wotofo SMRT Pod Kit - Gold,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-gold-p-20632.html,,$39.25
Authentic Wotofo SMRT Pod Kit - Black,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-black-p-20629.html,,$39.25
Authentic Wotofo Manik Mini Pod Kit - Red,https://www.cigabuy.com/authentic-wotofo-manik-mini-pod-kit-red-p-20628.html,,$34.33
Authentic Uwell Whirl S Pen Kit - Blue,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-blue-p-20635.html,,$38.21
Authentic IJOY Captain Link Mod - SS,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-ss-p-20709.html,,$36.34
Authentic Wotofo Manik Mini Pod Kit - Blue,https://www.cigabuy.com/authentic-wotofo-manik-mini-pod-kit-blue-p-20627.html,,$34.33
