rating,title,year,duration,genre,release,url
8.4,3 Idiots ,2009,2h 50min,"Comedy, Drama",25 December 2009 (India),https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
8.4,Avengers: Endgame ,2019,3h 1min,"Action, Adventure, Drama",26 April 2019 (USA),https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
8.4,Spider-Man: Into the Spider-Verse ,2018,1h 57min,"Animation, Action, Adventure",14 December 2018 (USA),https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt
8.4,Joker ,2019,2h 2min,"Crime, Drama, Thriller",4 October 2019 (USA),https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt
8.5,City Lights ,1931,1h 27min,"Comedy, Drama, Romance",7 March 1931 (USA),https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
8.5,Modern Times ,1936,1h 27min,"Comedy, Drama, Family",25 February 1936 (USA),https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
8.4,Your Name. ,2016,1h 46min,"Animation, Drama, Fantasy",7 April 2017 (USA),https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt
8.4,Capernaum ,2018,2h 6min,"Drama, ",20 September 2018 (Lebanon),https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt
8.7,One Flew Over the Cuckoo's Nest ,1975,2h 13min,"Drama, ",19 November 1975 (USA),https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt
8.6,Interstellar ,2014,2h 49min,"Adventure, Drama, Sci-Fi",7 November 2014 (USA),https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
8.7,Goodfellas ,1990,2h 26min,"Biography, Crime, Drama",21 September 1990 (USA),https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt
8.6,City of God ,2002,2h 10min,"Crime, Drama",13 February 2004 (USA),https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt
8.7,Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,"Action, Adventure, Fantasy",20 June 1980 (USA),https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt
